document_id,matter_name,custodian,keyword_hit_rate,concept_similarity,custodian_risk,email_thread_depth,recency_weight,privileged_terms_flag,outside_counsel_flag,work_product_flag,legal_hold_overlap,ground_truth_relevant,issue_antitrust,issue_bribery,issue_hr,issue_pricing
DOC-0018,Pricing Review,A. Chen,0.3758,0.4537,5,9,0.8031,0,0,0,0,0,0,0,0,1
DOC-0019,Internal Investigation,M. Patel,0.8398,0.593,5,9,0.4736,0,1,1,0,1,0,1,0,0
DOC-0020,Internal Investigation,A. Chen,0.6208,0.7499,5,6,0.7458,1,0,1,0,1,0,1,0,0
DOC-0021,Internal Investigation,R. Singh,0.7163,0.6196,4,9,0.386,0,0,1,0,1,0,1,0,0
DOC-0022,Pricing Review,A. Chen,0.652,0.6464,1,7,0.8454,0,0,0,1,1,0,0,0,1
DOC-0023,Employment Dispute,L. Rivera,0.7554,0.008,4,4,0.6204,0,0,0,0,0,0,0,1,0
DOC-0024,Employment Dispute,R. Singh,0.4665,0.704,2,7,0.6939,0,0,0,0,0,0,0,1,0
DOC-0025,Pricing Review,L. Rivera,0.4215,0.7008,3,9,0.3963,0,0,0,0,0,0,0,0,1
DOC-0026,Pricing Review,M. Patel,0.4982,0.3775,3,0,0.2199,0,0,0,0,0,0,0,0,1
DOC-0027,Employment Dispute,S. Brooks,0.1899,0.3636,5,1,0.1506,0,0,0,0,0,0,0,1,0
DOC-0028,Internal Investigation,A. Chen,0.6364,0.5825,2,10,0.6959,0,0,0,0,1,0,1,0,0
DOC-0029,Pricing Review,R. Singh,0.7471,0.7115,3,1,0.974,0,1,0,0,1,0,0,0,1
DOC-0030,Internal Investigation,J. Kim,0.7303,0.7044,3,8,0.4409,0,0,0,1,1,0,1,0,0
DOC-0031,US Antitrust Inquiry,M. Patel,0.6073,0.6377,5,8,0.5599,1,1,0,0,1,1,0,0,0
DOC-0032,US Antitrust Inquiry,J. Kim,0.8399,0.6187,5,1,0.6978,0,0,0,0,1,1,0,0,0
DOC-0033,Pricing Review,J. Kim,0.4679,0.4956,1,7,0.6995,1,0,0,1,0,0,0,0,1
DOC-0034,Pricing Review,S. Brooks,0.5053,0.637,1,2,0.3579,0,0,0,0,0,0,0,0,1
DOC-0035,Employment Dispute,R. Singh,0.5758,0.8212,1,1,0.3485,0,0,0,0,1,0,0,1,0
DOC-0036,Internal Investigation,L. Rivera,0.5866,0.5572,3,5,0.6306,0,0,0,0,1,0,1,0,0
DOC-0037,Internal Investigation,A. Chen,0.661,1.0,5,5,0.6365,0,0,0,0,1,0,1,0,0
DOC-0038,US Antitrust Inquiry,M. Patel,0.8936,0.736,1,0,0.4336,1,0,0,0,1,1,0,0,0
DOC-0039,Employment Dispute,J. Kim,0.2796,0.0,3,10,0.8754,0,0,0,1,0,0,0,1,0
DOC-0040,US Antitrust Inquiry,R. Singh,0.6099,0.8316,3,10,0.1588,0,0,1,0,1,1,0,0,0
DOC-0041,Internal Investigation,R. Singh,0.6021,0.4406,2,9,0.4809,0,0,1,1,0,0,1,0,0
DOC-0042,Employment Dispute,A. Chen,0.4795,0.4413,4,6,0.2158,0,0,0,0,0,0,0,1,0
DOC-0043,Employment Dispute,S. Brooks,0.3548,0.246,3,5,0.4255,0,0,0,0,1,0,0,1,0
DOC-0044,Internal Investigation,A. Chen,0.6901,0.3493,5,6,0.5264,0,0,0,0,1,0,1,0,0
DOC-0045,Pricing Review,S. Brooks,0.563,0.367,1,1,0.8816,0,0,0,0,0,0,0,0,1
DOC-0046,US Antitrust Inquiry,L. Rivera,0.515,0.5938,2,10,0.9208,0,1,0,0,0,1,0,0,0
DOC-0047,Pricing Review,A. Chen,0.6817,0.2566,5,0,0.63,0,0,0,1,1,0,0,0,1
DOC-0048,Pricing Review,J. Kim,0.6151,0.6084,4,2,0.6749,0,0,0,0,1,0,0,0,1
DOC-0049,Employment Dispute,A. Chen,0.4703,0.4185,3,9,0.2133,0,0,0,0,0,0,0,1,0
DOC-0050,Pricing Review,L. Rivera,0.4067,0.2485,3,0,0.4718,1,0,1,0,0,0,0,0,1
DOC-0051,Internal Investigation,S. Brooks,0.6082,0.3054,5,8,0.3435,0,0,0,0,0,0,1,0,0
DOC-0052,Internal Investigation,A. Chen,0.4493,0.7604,4,1,0.7645,0,0,0,0,1,0,1,0,0
DOC-0053,Pricing Review,A. Chen,0.5403,0.4738,1,6,0.7964,0,1,0,1,1,0,0,0,1
DOC-0054,US Antitrust Inquiry,M. Patel,0.5736,0.6338,2,8,0.4781,0,0,0,0,0,1,0,0,0
DOC-0055,US Antitrust Inquiry,R. Singh,0.8323,0.4837,1,0,0.8094,0,0,0,1,1,1,0,0,0
DOC-0056,Employment Dispute,R. Singh,0.7538,0.5209,3,2,0.2175,1,1,0,1,1,0,0,1,0
DOC-0057,US Antitrust Inquiry,M. Patel,0.4608,0.2655,3,2,0.9429,0,0,0,0,0,1,0,0,0
DOC-0058,Pricing Review,R. Singh,0.4476,0.9288,2,10,0.5528,0,0,0,0,1,0,0,0,1
DOC-0059,US Antitrust Inquiry,A. Chen,0.4346,0.6851,4,1,0.0988,0,0,0,1,0,1,0,0,0
DOC-0060,Employment Dispute,A. Chen,0.3116,0.4608,1,10,0.7624,0,0,0,0,1,0,0,1,0
DOC-0061,Employment Dispute,S. Brooks,0.6018,0.5404,5,9,0.3185,0,0,0,0,1,0,0,1,0
DOC-0062,Employment Dispute,L. Rivera,0.4988,0.246,4,1,0.6687,0,1,0,0,0,0,0,1,0
DOC-0063,US Antitrust Inquiry,R. Singh,0.5377,0.5834,4,2,0.7292,0,0,0,0,1,1,0,0,0
DOC-0064,US Antitrust Inquiry,J. Kim,0.6592,0.5345,3,9,0.2038,0,0,0,0,0,1,0,0,0
DOC-0065,Internal Investigation,A. Chen,1.0,0.7632,2,4,0.7533,0,0,0,1,1,0,1,0,0
DOC-0066,Pricing Review,J. Kim,0.4529,0.3004,2,5,0.3864,0,0,0,1,0,0,0,0,1
DOC-0067,Pricing Review,L. Rivera,0.6201,0.2194,5,1,0.5325,0,0,0,0,0,0,0,0,1
DOC-0068,Internal Investigation,R. Singh,0.591,0.1597,1,8,0.423,1,0,0,0,0,0,1,0,0
DOC-0069,Internal Investigation,A. Chen,0.7224,0.6285,1,8,0.4463,1,0,0,1,1,0,1,0,0
DOC-0070,US Antitrust Inquiry,R. Singh,0.878,0.8784,3,6,0.1577,1,0,0,0,1,1,0,0,0
DOC-0071,Employment Dispute,R. Singh,0.4928,0.5445,5,4,0.4467,0,0,0,0,0,0,0,1,0
DOC-0072,US Antitrust Inquiry,S. Brooks,0.7539,0.8296,1,10,0.7571,0,0,0,0,1,1,0,0,0
DOC-0073,Pricing Review,S. Brooks,0.424,0.4318,5,3,0.4186,0,0,0,0,1,0,0,0,1
DOC-0074,Internal Investigation,A. Chen,0.5412,0.7764,5,8,0.4181,0,0,0,0,1,0,1,0,0
DOC-0075,Internal Investigation,M. Patel,0.7341,0.3345,3,1,0.5281,0,0,0,0,1,0,1,0,0
DOC-0076,Pricing Review,L. Rivera,0.8971,0.7967,2,4,0.5548,0,0,0,0,1,0,0,0,1
DOC-0077,US Antitrust Inquiry,R. Singh,0.7744,0.7906,1,7,0.8496,0,0,0,0,1,1,0,0,0
DOC-0078,US Antitrust Inquiry,R. Singh,0.8192,0.7312,2,10,0.9445,0,0,0,0,1,1,0,0,0
DOC-0079,US Antitrust Inquiry,L. Rivera,0.6355,0.6697,5,6,0.2937,0,0,0,1,1,1,0,0,0
DOC-0080,Pricing Review,J. Kim,0.4571,0.6388,5,0,0.1726,0,0,0,0,0,0,0,0,1
DOC-0081,Internal Investigation,L. Rivera,0.8926,0.5278,2,9,0.6228,0,1,0,1,1,0,1,0,0
DOC-0082,US Antitrust Inquiry,S. Brooks,0.7563,0.9074,5,4,0.3538,0,0,0,0,1,1,0,0,0
DOC-0083,Pricing Review,M. Patel,0.7145,0.5102,3,6,0.482,0,0,1,0,1,0,0,0,1
DOC-0084,Internal Investigation,J. Kim,0.7583,0.7177,2,4,0.5952,0,0,0,0,1,0,1,0,0
DOC-0085,Pricing Review,J. Kim,0.6263,0.5742,5,1,0.6587,1,0,0,1,1,0,0,0,1
DOC-0086,US Antitrust Inquiry,J. Kim,0.681,0.2925,5,2,0.257,0,0,0,0,0,1,0,0,0
DOC-0087,Internal Investigation,R. Singh,0.2889,0.2497,4,2,0.4313,1,0,0,0,0,0,1,0,0
DOC-0088,Internal Investigation,R. Singh,0.6777,0.6102,4,10,0.1539,0,0,0,0,1,0,1,0,0
DOC-0089,Pricing Review,A. Chen,0.5441,0.4946,5,6,0.2687,0,0,0,0,0,0,0,0,1
DOC-0090,Employment Dispute,A. Chen,0.392,0.5839,2,3,0.1851,0,0,0,0,1,0,0,1,0
DOC-0091,US Antitrust Inquiry,M. Patel,1.0,0.449,2,7,0.9056,1,1,0,1,1,1,0,0,0
DOC-0092,Internal Investigation,M. Patel,0.7076,0.7696,1,4,0.967,1,0,0,0,1,0,1,0,0
DOC-0093,Pricing Review,M. Patel,0.6758,0.7009,3,0,0.7135,0,0,0,0,1,0,0,0,1
DOC-0094,Internal Investigation,A. Chen,0.7123,0.4673,5,5,0.3655,0,0,0,0,1,0,1,0,0
DOC-0095,Pricing Review,M. Patel,0.3208,0.5291,4,3,0.8023,0,0,0,0,0,0,0,0,1
DOC-0096,Pricing Review,S. Brooks,0.6256,0.7032,1,8,0.6792,0,0,1,0,1,0,0,0,1
DOC-0097,Pricing Review,R. Singh,0.5102,0.5642,4,0,0.7782,0,0,0,1,1,0,0,0,1
DOC-0098,Pricing Review,M. Patel,0.9306,0.7084,2,0,0.8911,0,0,0,0,1,0,0,0,1
DOC-0099,Pricing Review,A. Chen,0.2765,0.6706,3,5,0.6804,0,0,0,0,0,0,0,0,1
DOC-0100,Internal Investigation,S. Brooks,0.9538,0.5735,2,10,0.3355,0,0,1,0,1,0,1,0,0
DOC-0101,US Antitrust Inquiry,L. Rivera,0.7002,0.8036,3,3,0.2523,0,1,0,0,1,1,0,0,0
DOC-0102,Internal Investigation,R. Singh,0.7302,0.5152,3,4,0.8867,0,1,0,0,1,0,1,0,0
DOC-0103,US Antitrust Inquiry,M. Patel,1.0,0.7539,4,5,0.4635,1,0,0,1,1,1,0,0,0
DOC-0104,US Antitrust Inquiry,J. Kim,0.9193,0.8427,5,5,0.903,0,0,0,0,1,1,0,0,0
DOC-0105,Pricing Review,M. Patel,0.1513,0.5029,5,4,0.0747,0,0,0,0,1,0,0,0,1
DOC-0106,US Antitrust Inquiry,S. Brooks,1.0,0.7785,1,4,0.4166,1,1,0,0,1,1,0,0,0
DOC-0107,Employment Dispute,M. Patel,0.5186,0.5624,3,8,0.633,0,0,0,0,0,0,0,1,0
DOC-0108,Employment Dispute,S. Brooks,0.5825,0.7222,4,2,0.2042,0,0,0,1,1,0,0,1,0
DOC-0109,Employment Dispute,A. Chen,0.5066,0.3908,2,10,0.377,0,0,0,1,0,0,0,1,0
DOC-0110,Pricing Review,J. Kim,0.5151,0.5014,3,8,0.2718,0,0,0,0,0,0,0,0,1
DOC-0111,Pricing Review,M. Patel,0.4734,0.6427,4,8,0.8,0,1,0,0,1,0,0,0,1
DOC-0112,Internal Investigation,A. Chen,0.9954,0.3477,5,8,0.6725,0,0,0,0,1,0,1,0,0
DOC-0113,US Antitrust Inquiry,M. Patel,0.7486,0.5591,2,1,0.4592,0,0,0,0,1,1,0,0,0
DOC-0114,Internal Investigation,L. Rivera,0.7128,0.5719,2,3,0.0309,1,0,0,0,0,0,1,0,0
DOC-0115,Pricing Review,J. Kim,0.4956,0.7962,4,7,0.3049,1,0,0,0,1,0,0,0,1
DOC-0116,Pricing Review,J. Kim,0.9314,0.3873,3,2,0.6074,0,0,0,0,1,0,0,0,1
DOC-0117,Internal Investigation,J. Kim,0.7233,0.3279,4,0,0.7113,0,0,0,1,1,0,1,0,0
DOC-0118,Employment Dispute,M. Patel,0.3365,0.3008,1,10,0.1832,0,0,0,0,0,0,0,1,0
DOC-0119,US Antitrust Inquiry,M. Patel,0.7247,0.8552,2,10,0.6056,1,0,0,0,1,1,0,0,0
DOC-0120,Internal Investigation,S. Brooks,0.4382,0.3562,1,5,0.2933,0,0,0,0,0,0,1,0,0
DOC-0121,Internal Investigation,S. Brooks,0.4325,0.5538,3,5,0.6437,0,0,0,1,0,0,1,0,0
DOC-0122,US Antitrust Inquiry,A. Chen,0.4357,0.7283,3,2,0.4813,0,0,0,1,1,1,0,0,0
DOC-0123,Pricing Review,A. Chen,0.4148,0.4105,3,8,0.3329,0,0,0,0,0,0,0,0,1
DOC-0124,Internal Investigation,S. Brooks,0.7637,0.3414,4,3,0.5272,0,0,0,0,1,0,1,0,0
DOC-0125,US Antitrust Inquiry,A. Chen,0.7822,0.3532,1,7,0.7606,0,0,1,0,1,1,0,0,0
DOC-0126,Pricing Review,R. Singh,0.5957,0.2724,2,5,0.8806,0,0,1,0,0,0,0,0,1
DOC-0127,Employment Dispute,J. Kim,0.7165,0.3549,3,3,0.4341,1,0,0,0,0,0,0,1,0
DOC-0128,US Antitrust Inquiry,M. Patel,0.7856,0.5862,5,8,0.3484,0,0,0,0,1,1,0,0,0
DOC-0129,Employment Dispute,A. Chen,0.684,0.4405,5,8,0.084,0,0,0,1,1,0,0,1,0
DOC-0130,US Antitrust Inquiry,A. Chen,0.614,1.0,1,0,0.6391,0,0,0,0,1,1,0,0,0
DOC-0131,Internal Investigation,R. Singh,0.8063,0.3637,1,1,0.4219,0,0,0,0,0,0,1,0,0
DOC-0132,Internal Investigation,R. Singh,0.8029,0.4706,4,7,0.226,0,0,0,1,1,0,1,0,0
DOC-0133,Employment Dispute,R. Singh,0.4192,0.2797,4,4,0.3447,0,0,0,0,0,0,0,1,0
DOC-0134,Employment Dispute,L. Rivera,0.6991,0.5234,3,10,0.3212,0,0,0,0,1,0,0,1,0
DOC-0135,Pricing Review,R. Singh,0.3553,0.6143,3,2,0.1468,0,1,0,1,0,0,0,0,1
DOC-0136,Employment Dispute,L. Rivera,0.5908,0.4152,1,3,0.4448,0,0,0,0,0,0,0,1,0
DOC-0137,US Antitrust Inquiry,R. Singh,0.7472,0.5868,4,10,0.7105,0,0,0,0,1,1,0,0,0
DOC-0138,Pricing Review,J. Kim,0.4698,0.5192,3,6,0.4492,0,0,0,0,0,0,0,0,1
DOC-0139,Internal Investigation,J. Kim,0.6618,0.7682,3,9,0.2383,1,0,0,0,1,0,1,0,0
DOC-0140,US Antitrust Inquiry,R. Singh,0.6093,0.6396,1,0,0.4679,1,0,0,1,0,1,0,0,0
DOC-0141,Pricing Review,J. Kim,0.5507,0.6024,5,2,0.6701,0,0,0,0,1,0,0,0,1
DOC-0142,Internal Investigation,L. Rivera,0.5869,0.6283,1,3,0.5254,0,1,0,0,0,0,1,0,0
DOC-0143,US Antitrust Inquiry,R. Singh,0.6269,0.3908,1,4,0.5406,0,1,0,0,1,1,0,0,0
DOC-0144,Pricing Review,S. Brooks,0.6797,0.4195,4,2,0.4117,0,0,0,0,1,0,0,0,1
DOC-0145,Pricing Review,A. Chen,0.3026,0.7632,4,5,0.4766,0,0,0,0,0,0,0,0,1
DOC-0146,Pricing Review,M. Patel,0.6047,0.3509,2,8,0.3346,0,0,1,0,0,0,0,0,1
DOC-0147,US Antitrust Inquiry,J. Kim,1.0,0.6802,1,3,0.1332,0,0,0,1,1,1,0,0,0
DOC-0148,US Antitrust Inquiry,A. Chen,0.6822,0.5378,3,1,0.6424,0,0,1,0,1,1,0,0,0
DOC-0149,Employment Dispute,R. Singh,0.2171,0.5091,3,2,0.7056,0,0,1,0,0,0,0,1,0
DOC-0150,US Antitrust Inquiry,A. Chen,0.7825,0.7682,3,3,0.6033,0,0,0,1,1,1,0,0,0
